Head to head statistics:

 1) Stockfish 13        3696.3 :   1200 (+882,=314,-4),  86.6 %

    vs.                        :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 9                :    100 (   0,   7,  93),   3.5 :  -564.4,  12.7,    0.0
    Komodo 9.02                :    100 (   1,  17,  82),   9.5 :  -410.8,  15.8,    0.0
    Shredder 13                :    100 (   1,  18,  81),  10.0 :  -370.7,  13.3,    0.0
    Rybka 4.1                  :    100 (   3,  25,  72),  15.5 :  -230.9,  14.1,    0.0
    Senpai 2.0                 :    100 (  13,  35,  52),  30.5 :  -195.0,  12.5,    0.0
    Texel 1.07                 :    100 (   5,  30,  65),  20.0 :  -193.4,  12.7,    0.0
    iCE 3.0                    :    100 (  12,  29,  59),  26.5 :  -164.4,  12.7,    0.0
    Arasan 20.4.1              :    100 (  13,  39,  48),  32.5 :  -164.0,  12.9,    0.0
    Hiarcs 14                  :    100 (  20,  33,  47),  36.5 :   -72.7,  13.7,    0.0
    Junior 12.5.0.3            :    100 (  44,  32,  24),  60.0 :   +49.4,  14.4,  100.0
    Zappa Mexico II            :    100 (  46,  33,  21),  62.5 :   +68.2,  14.5,  100.0

18) Rodent III          2909.2 :   1100 (+469,=358,-273),  58.9 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (  15,  40,  45),  35.0 :  -113.6,  12.2,    0.0
    Hakkapeliitta 3.0          :    100 (  19,  39,  42),  38.5 :   -75.9,  11.8,    0.0
    Crafty 25.2                :    100 (  27,  28,  45),  41.0 :   -64.3,  11.5,    0.0
    DiscoCheck 5.2.1           :    100 (  30,  33,  37),  46.5 :   -28.3,  10.1,    0.3
    Gaviota 1.0                :    100 (  33,  41,  26),  53.5 :   +50.6,  12.2,  100.0
    Sjeng 3.0                  :    100 (  41,  40,  19),  61.0 :   +77.6,  12.2,  100.0
    Pawny 1.2                  :    100 (  54,  28,  18),  68.0 :  +120.3,  13.1,  100.0
    Fruit 2.3                  :    100 (  47,  37,  16),  65.5 :  +126.1,  11.5,  100.0
    Marvin 3.0                 :    100 (  62,  27,  11),  75.5 :  +207.5,  10.9,  100.0
    Djinn 1.021                :    100 (  69,  27,   4),  82.5 :  +235.2,  10.9,  100.0
    Rodin 8.0                  :    100 (  72,  18,  10),  81.0 :  +242.9,  11.5,  100.0

19) Junior 12.5.0.3     2867.2 :   1100 (+128,=243,-729),  22.7 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 9                :    100 (   1,   5,  94),   3.5 :  -613.8,  13.2,    0.0
    Komodo 9.02                :    100 (   1,   7,  92),   4.5 :  -460.2,  16.0,    0.0
    Shredder 13                :    100 (   0,  11,  89),   5.5 :  -420.1,  15.0,    0.0
    Rybka 4.1                  :    100 (   2,  25,  73),  14.5 :  -280.3,  13.2,    0.0
    Senpai 2.0                 :    100 (   8,  19,  73),  17.5 :  -244.4,  13.0,    0.0
    Texel 1.07                 :    100 (   8,  21,  71),  18.5 :  -242.8,  13.3,    0.0
    iCE 3.0                    :    100 (  16,  28,  56),  30.0 :  -213.8,  13.2,    0.0
    Arasan 20.4.1              :    100 (   8,  26,  66),  21.0 :  -213.4,  12.6,    0.0
    Hiarcs 14                  :    100 (  17,  40,  43),  37.0 :  -122.1,  13.3,    0.0
