Head to head statistics:

 1) Stockfish 16.1     3768.9 :   2200 (+759,=1432,-9),  67.0 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Hiarcs 15.3.1             :    200 (   1,  46, 153),  12.0 :  -333.1,   8.8,    0.0
    Shredder 13               :    200 (  28,  99,  73),  38.8 :  -103.7,   8.1,    0.0
    Demolito 20211004         :    200 (  30,  90,  80),  37.5 :   -76.4,   8.3,    0.0
    iCE 4.0                   :    200 (  37, 105,  58),  44.8 :   -15.7,   7.3,    1.6
    Weiss 1.3                 :    200 (  47,  99,  54),  48.3 :   -15.5,   8.1,    2.8
    Orion 1.0                 :    200 (  58,  97,  45),  53.3 :   +32.9,   8.4,  100.0
    Rodent 4                  :    200 (  90,  86,  24),  66.5 :  +119.9,   8.6,  100.0
    Crafty 25.3               :    200 ( 111,  58,  31),  70.0 :  +143.6,   7.7,  100.0
    Spike 1.4                 :    200 ( 119,  65,  16),  75.8 :  +160.6,   7.9,  100.0
    Gaviota 1.0               :    200 ( 114,  74,  12),  75.5 :  +198.6,   7.6,  100.0

20) Orion 1.0          3091.4 :   2200 (+529,=878,-793),  44.0 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   0,  47, 153),  11.8 :  -423.4,   8.8,    0.0
    Hiarcs 15.3.1             :    200 (   4,  58, 138),  16.5 :  -366.0,   8.6,    0.0
    Shredder 13               :    200 (  32,  82,  86),  36.5 :  -136.6,   8.1,    0.0
    Demolito 20211004         :    200 (  27,  94,  79),  37.0 :  -109.4,   8.2,    0.0
    iCE 4.0                   :    200 (  35,  98,  67),  42.0 :   -48.6,   7.3,    0.0
    Weiss 1.3                 :    200 (  42,  84,  74),  42.0 :   -48.5,   8.1,    0.0
    Senpai 2.0                :    200 (  45,  97,  58),  46.8 :   -32.9,   8.4,    0.0
    Rodent 4                  :    200 (  55, 106,  39),  54.0 :   +86.9,   8.2,  100.0
    Crafty 25.3               :    200 (  86,  71,  43),  60.8 :  +110.7,   7.7,  100.0
    Spike 1.4                 :    200 (  94,  78,  28),  66.5 :  +127.6,   8.0,  100.0
    Gaviota 1.0               :    200 ( 109,  63,  28),  70.3 :  +165.7,   7.8,  100.0

21) Rodent 4           3004.5 :   2200 (+314,=826,-1060),  33.0 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   0,  27,  173),   6.8 :  -510.3,   9.0,    0.0
    Hiarcs 15.3.1             :    200 (   0,  25,  175),   6.3 :  -452.9,   9.0,    0.0
    Shredder 13               :    200 (   8,  66,  126),  20.5 :  -223.6,   8.1,    0.0
