Head to head statistics:

 1) Stockfish 16.1     3804.3 :   9792 (+4057,=5703,-32),  70.6 %

    vs.                       :  games (    +,    =,  -),   (%) :    Diff,    SD, CFS (%)
    Rodent 4                  :    879 (  546,  283,   50),  78.2 :  +215.2,   4.2,  100.0
    Crafty 25.3               :    879 (  584,  247,   48),  80.5 :  +240.4,   3.8,  100.0
    Spike 1.4                 :    878 (  564,  273,   41),  79.8 :  +256.5,   3.6,  100.0
    Gaviota 1.0               :    879 (  653,  176,   50),  84.3 :  +270.3,   3.8,  100.0

17) Senpai 2.0         3130.2 :   9667 (+3100,=3293,-3274),  49.1 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    879 (    8,  153,  718),   9.6 :  -388.9,   4.2,    0.0
    Wasp 7.00                 :    879 (   13,  141,  725),   9.5 :  -388.9,   4.1,    0.0
    Hiarcs 15.3.1             :    879 (   62,  313,  504),  24.9 :  -182.2,   3.8,    0.0
    Demolito 20211004         :    879 (  140,  384,  355),  37.8 :   -68.2,   3.9,    0.0
    iCE 4.0                   :    879 (  239,  400,  240),  49.9 :    +0.2,   3.3,   52.3
    Weiss 1.3                 :    879 (  240,  386,  253),  49.3 :    +5.7,   3.9,   92.8
    Orion 1.0                 :    878 (  303,  396,  179),  57.1 :   +71.8,   3.8,  100.0
    Rodent 4                  :    879 (  483,  310,   86),  72.6 :  +147.0,   3.9,  100.0
    Crafty 25.3               :    878 (  552,  249,   77),  77.1 :  +172.2,   3.7,  100.0
    Spike 1.4                 :    879 (  519,  287,   73),  75.4 :  +188.3,   3.6,  100.0
    Gaviota 1.0               :    879 (  541,  274,   64),  77.1 :  +202.1,   3.6,  100.0

18) iCE 4.0            3130.0 :   9667 (+3117,=3282,-3268),  49.2 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    879 (   10,  173,  696),  11.0 :  -389.1,   3.4,    0.0
    Wasp 7.00                 :    879 (   10,  154,  715),   9.9 :  -389.1,   3.3,    0.0
    Hiarcs 15.3.1             :    879 (   55,  322,  502),  24.6 :  -182.4,   3.1,    0.0
    Demolito 20211004         :    879 (  152,  399,  328),  40.0 :   -68.4,   3.4,    0.0
    Senpai 2.0                :    879 (  240,  400,  239),  50.1 :    -0.2,   3.3,   47.7
    Weiss 1.3                 :    879 (  267,  360,  252),  50.9 :    +5.5,   3.5,   94.4
    Orion 1.0                 :    879 (  343,  351,  185),  59.0 :   +71.7,   3.4,  100.0
    Rodent 4                  :    878 (  444,  347,   87),  70.3 :  +146.8,   3.6,  100.0
    Crafty 25.3               :    879 (  509,  260,  110),  72.7 :  +172.0,   2.9,  100.0
    Spike 1.4                 :    878 (  523,  271,   84),  75.0 :  +188.1,   2.8,  100.0
    Gaviota 1.0               :    879 (  564,  245,   70),  78.1 :  +201.9,   2.8,  100.0

19) Weiss 1.3          3124.5 :   9667 (+3076,=3205,-3386),  48.4 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    879 (   12,  149,  718),   9.8 :  -394.6,   4.3,    0.0
    Wasp 7.00                 :    879 (    6,  151,  722),   9.3 :  -394.6,   4.2,    0.0
    Hiarcs 15.3.1             :    879 (   64,  299,  516),  24.3 :  -187.9,   3.8,    0.0
    Demolito 20211004         :    879 (  149,  401,  329),  39.8 :   -73.9,   3.9,    0.0
    Senpai 2.0                :    879 (  253,  386,  240),  50.7 :    -5.7,   3.9,    7.2
    iCE 4.0                   :    879 (  252,  360,  267),  49.1 :    -5.5,   3.5,    5.6
    Orion 1.0                 :    879 (  342,  302,  235),  56.1 :   +66.2,   3.8,  100.0
    Rodent 4                  :    879 (  446,  354,   79),  70.9 :  +141.3,   4.1,  100.0
    Crafty 25.3               :    878 (  499,  273,  106),  72.4 :  +166.5,   3.7,  100.0
    Spike 1.4                 :    879 (  526,  269,   84),  75.1 :  +182.6,   3.6,  100.0
    Gaviota 1.0               :    878 (  527,  261,   90),  74.9 :  +196.4,   3.7,  100.0

20) Orion 1.0          3058.3 :   9667 (+2237,=3300,-4130),  40.2 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    879 (    4,  147,  728),   8.8 :  -460.7,   4.2,    0.0
