Head to head statistics:

 1) Stockfish 16.1     3607.4 :   1100 (+258,=841,-1),  61.7 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   0,  28,  72),  14.0 :  -313.5,  11.2,    0.0
    Hiarcs 15.3.1             :    100 (   0,  52,  48),  26.0 :  -185.7,  10.4,    0.0
    Shredder 13               :    100 (   7,  59,  34),  36.5 :  -117.9,   9.7,    0.0
    Demolito 20211004         :    100 (  14,  64,  22),  46.0 :   -40.8,  10.3,    0.0
    iCE 4.0                   :    100 (  25,  52,  23),  51.0 :    -4.1,   9.2,   32.8
    Orion 1.0                 :    100 (  37,  42,  21),  58.0 :    +2.3,  10.2,   59.1
    Senpai 2.0                :    100 (  19,  63,  18),  50.5 :   +31.9,   9.9,   99.9
    Rodent 4                  :    100 (  36,  50,  14),  61.0 :   +85.7,  10.5,  100.0
    Spike 1.4                 :    100 (  39,  51,  10),  64.5 :  +138.1,   9.8,  100.0
    Crafty 25.3               :    100 (  45,  47,   8),  68.5 :  +148.4,  10.1,  100.0
    Gaviota 1.0               :    100 (  54,  42,   4),  75.0 :  +221.5,  10.2,  100.0

19) Orion 1.0          3093.6 :   1100 (+313,=469,-318),  49.8 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   1,  32,  67),  17.0 :  -315.8,  10.9,    0.0
    Hiarcs 15.3.1             :    100 (  10,  38,  52),  29.0 :  -188.0,  10.0,    0.0
    Shredder 13               :    100 (  14,  48,  38),  38.0 :  -120.2,  10.0,    0.0
    Demolito 20211004         :    100 (  24,  49,  27),  48.5 :   -43.2,  10.1,    0.0
    iCE 4.0                   :    100 (  15,  63,  22),  46.5 :    -6.4,   8.8,   23.2
    Weiss 1.3                 :    100 (  21,  42,  37),  42.0 :    -2.3,  10.2,   40.9
    Senpai 2.0                :    100 (  32,  47,  21),  55.5 :   +29.5,  10.3,   99.8
    Rodent 4                  :    100 (  43,  43,  14),  64.5 :   +83.3,  10.7,  100.0
    Spike 1.4                 :    100 (  45,  38,  17),  64.0 :  +135.8,   9.7,  100.0
    Crafty 25.3               :    100 (  49,  35,  16),  66.5 :  +146.0,  10.0,  100.0
    Gaviota 1.0               :    100 (  59,  34,   7),  76.0 :  +219.2,  10.2,  100.0

20) Senpai 2.0         3064.0 :   1100 (+245,=517,-338),  45.8 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   0,  31,  69),  15.5 :  -345.4,  11.2,    0.0
    Hiarcs 15.3.1             :    100 (   1,  44,  55),  23.0 :  -217.6,  10.2,    0.0
    Shredder 13               :    100 (   4,  50,  46),  29.0 :  -149.7,  10.1,    0.0
    Demolito 20211004         :    100 (  11,  52,  37),  37.0 :   -72.7,  10.1,    0.0
    iCE 4.0                   :    100 (  19,  54,  27),  46.0 :   -36.0,   9.0,    0.0
    Weiss 1.3                 :    100 (  18,  63,  19),  49.5 :   -31.9,   9.9,    0.1
    Orion 1.0                 :    100 (  21,  47,  32),  44.5 :   -29.5,  10.3,    0.2
    Rodent 4                  :    100 (  33,  49,  18),  57.5 :   +53.8,  10.2,  100.0
    Spike 1.4                 :    100 (  41,  47,  12),  64.5 :  +106.2,   9.8,  100.0
    Crafty 25.3               :    100 (  43,  45,  12),  65.5 :  +116.5,  10.0,  100.0
    Gaviota 1.0               :    100 (  54,  35,  11),  71.5 :  +189.6,  10.1,  100.0

21) Rodent 4           3010.2 :   1100 (+185,=479,-436),  38.6 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   0,  13,  87),   6.5 :  -399.1,  11.0,    0.0
