Head to head statistics:

 1) Stockfish 16.1     3724.2 :   2200 (+601,=1596,-3),  63.6 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    200 (    5,   84, 111),  23.5 :  -246.7,   7.8,    0.0
    Minic 3.41                :    200 (    6,   95,  99),  26.8 :  -205.3,   7.8,    0.0
    Wasp 7.00                 :    200 (    8,   94,  98),  27.5 :  -184.0,   7.6,    0.0
    Texel 1.11                :    400 (   19,  214, 167),  31.5 :  -136.7,   7.2,    0.0
    Shredder 13               :    400 (  114,  267,  19),  61.9 :   +84.7,   7.0,  100.0
    Demolito 20211004         :    200 (   82,  108,  10),  68.0 :  +150.6,   7.8,  100.0
    Weiss 1.3                 :    200 (  115,   78,   7),  77.0 :  +191.0,   7.7,  100.0
    iCE 4.0                   :    200 (  105,   87,   8),  74.3 :  +204.1,   6.5,  100.0
    Orion 1.0                 :    200 (   90,   99,  11),  69.8 :  +221.4,   7.7,  100.0
    Senpai 2.0                :    200 (  122,   77,   1),  80.3 :  +222.1,   7.7,  100.0
    Rodent 4                  :    200 (  140,   59,   1),  84.8 :  +291.4,   8.0,  100.0
    Crafty 25.3               :    200 (  154,   44,   2),  88.0 :  +358.9,   7.3,  100.0
    Spike 1.4                 :    200 (  154,   46,   0),  88.5 :  +365.2,   7.6,  100.0
    Gaviota 1.0               :    200 (  164,   35,   1),  90.8 :  +412.0,   7.4,  100.0

15) Shredder 13        3249.3 :   3200 (+982,=1331,-887),  51.5 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Arasan 24.2.2             :    200 (   3,   59, 138),  16.3 :  -331.4,   7.6,    0.0
    Minic 3.41                :    200 (   2,   56, 142),  15.0 :  -290.1,   7.6,    0.0
    Wasp 7.00                 :    200 (   3,   62, 135),  17.0 :  -268.8,   7.5,    0.0
    Texel 1.11                :    400 (   8,  156, 236),  21.5 :  -221.5,   7.0,    0.0
    Hiarcs 15.3.1             :    400 (  19,  267, 114),  38.1 :   -84.7,   7.0,    0.0
    Demolito 20211004         :    200 (  61,  116,  23),  59.5 :   +65.9,   7.3,  100.0
    Weiss 1.3                 :    200 (  74,   99,  27),  61.8 :  +106.2,   7.1,  100.0
    iCE 4.0                   :    200 (  83,  101,  16),  66.8 :  +119.3,   6.2,  100.0
    Orion 1.0                 :    200 (  79,   95,  26),  63.3 :  +136.7,   7.5,  100.0
    Senpai 2.0                :    200 (  99,   84,  17),  70.5 :  +137.4,   7.5,  100.0
    Rodent 4                  :    200 ( 113,   79,   8),  76.3 :  +206.6,   7.8,  100.0
    Crafty 25.3               :    200 ( 145,   52,   3),  85.5 :  +274.2,   7.2,  100.0
    Spike 1.4                 :    200 ( 137,   61,   2),  83.8 :  +280.5,   7.1,  100.0
    Gaviota 1.0               :    200 ( 156,   44,   0),  89.0 :  +327.3,   7.1,  100.0

16) Demolito 20211004  3183.4 :   2200 (+746,=1006,-448),  56.8 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   3,   59, 138),  16.3 :  -287.4,   8.0,    0.0
    Hiarcs 15.3.1             :    200 (  10,  108,  82),  32.0 :  -150.6,   7.8,    0.0
    Shredder 13               :    200 (  23,  116,  61),  40.5 :   -65.9,   7.3,    0.0
    Weiss 1.3                 :    200 (  71,   99,  30),  60.3 :   +40.4,   7.6,  100.0
    iCE 4.0                   :    200 (  52,  119,  29),  55.8 :   +53.4,   6.9,  100.0
    Orion 1.0                 :    200 (  72,   96,  32),  60.0 :   +70.8,   7.7,  100.0
    Senpai 2.0                :    200 (  52,  119,  29),  55.8 :   +71.5,   7.5,  100.0
    Rodent 4                  :    200 (  92,   88,  20),  68.0 :  +140.7,   7.8,  100.0
    Crafty 25.3               :    200 ( 126,   62,  12),  78.5 :  +208.3,   7.3,  100.0
    Spike 1.4                 :    200 ( 115,   78,   7),  77.0 :  +214.6,   7.3,  100.0
    Gaviota 1.0               :    200 ( 130,   62,   8),  80.5 :  +261.4,   7.4,  100.0

17) Weiss 1.3          3143.1 :   2200 (+662,=939,-599),  51.4 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   7,  59, 134),  18.3 :  -327.7,   7.7,    0.0
    Hiarcs 15.3.1             :    200 (   7,  78, 115),  23.0 :  -191.0,   7.7,    0.0
    Shredder 13               :    200 (  27,  99,  74),  38.3 :  -106.2,   7.1,    0.0
    Demolito 20211004         :    200 (  30,  99,  71),  39.8 :   -40.4,   7.6,    0.0
    iCE 4.0                   :    200 (  61, 103,  36),  56.3 :   +13.1,   6.6,   97.7
    Orion 1.0                 :    200 (  53,  84,  63),  47.5 :   +30.4,   7.4,  100.0
    Senpai 2.0                :    200 (  61, 102,  37),  56.0 :   +31.1,   7.6,  100.0
    Rodent 4                  :    200 (  73, 106,  21),  63.0 :  +100.4,   7.4,  100.0
    Crafty 25.3               :    200 ( 110,  69,  21),  72.3 :  +167.9,   7.1,  100.0
    Spike 1.4                 :    200 ( 106,  74,  20),  71.5 :  +174.2,   7.3,  100.0
    Gaviota 1.0               :    200 ( 127,  66,   7),  80.0 :  +221.1,   7.4,  100.0

18) iCE 4.0            3130.0 :   2200 (+599,=997,-604),  49.9 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   1,  57, 142),  14.8 :  -340.8,   6.6,    0.0
    Hiarcs 15.3.1             :    200 (   8,  87, 105),  25.8 :  -204.1,   6.5,    0.0
    Shredder 13               :    200 (  16, 101,  83),  33.3 :  -119.3,   6.2,    0.0
    Demolito 20211004         :    200 (  29, 119,  52),  44.3 :   -53.4,   6.9,    0.0
    Weiss 1.3                 :    200 (  36, 103,  61),  43.8 :   -13.1,   6.6,    2.3
    Orion 1.0                 :    200 (  58, 104,  38),  55.0 :   +17.4,   6.8,   99.5
    Senpai 2.0                :    200 (  48, 112,  40),  52.0 :   +18.0,   6.7,   99.6
    Rodent 4                  :    200 (  81,  92,  27),  63.5 :   +87.3,   6.7,  100.0
    Crafty 25.3               :    200 (  99,  77,  24),  68.8 :  +154.8,   5.9,  100.0
    Spike 1.4                 :    200 ( 100,  80,  20),  70.0 :  +161.1,   5.8,  100.0
    Gaviota 1.0               :    200 ( 123,  65,  12),  77.8 :  +208.0,   5.9,  100.0

19) Orion 1.0          3112.6 :   2200 (+561,=962,-677),  47.4 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   1,  50, 149),  13.0 :  -358.2,   8.2,    0.0
    Hiarcs 15.3.1             :    200 (  11,  99,  90),  30.3 :  -221.4,   7.7,    0.0
    Shredder 13               :    200 (  26,  95,  79),  36.8 :  -136.7,   7.5,    0.0
    Demolito 20211004         :    200 (  32,  96,  72),  40.0 :   -70.8,   7.7,    0.0
    Weiss 1.3                 :    200 (  63,  84,  53),  52.5 :   -30.4,   7.4,    0.0
    iCE 4.0                   :    200 (  38, 104,  58),  45.0 :   -17.4,   6.8,    0.5
    Senpai 2.0                :    200 (  49, 104,  47),  50.5 :    +0.7,   7.6,   53.6
    Rodent 4                  :    200 (  58, 107,  35),  55.8 :   +69.9,   7.4,  100.0
    Crafty 25.3               :    200 (  93,  73,  34),  64.8 :  +137.5,   7.2,  100.0
    Spike 1.4                 :    200 (  90,  85,  25),  66.3 :  +143.8,   7.1,  100.0
    Gaviota 1.0               :    200 ( 100,  65,  35),  66.3 :  +190.6,   7.1,  100.0

20) Senpai 2.0         3112.0 :   2200 (+552,=976,-672),  47.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   1,  44, 155),  11.5 :  -358.8,   8.0,    0.0
    Hiarcs 15.3.1             :    200 (   1,  77, 122),  19.8 :  -222.1,   7.7,    0.0
    Shredder 13               :    200 (  17,  84,  99),  29.5 :  -137.4,   7.5,    0.0
    Demolito 20211004         :    200 (  29, 119,  52),  44.3 :   -71.5,   7.5,    0.0
    Weiss 1.3                 :    200 (  37, 102,  61),  44.0 :   -31.1,   7.6,    0.0
    iCE 4.0                   :    200 (  40, 112,  48),  48.0 :   -18.0,   6.7,    0.4
    Orion 1.0                 :    200 (  47, 104,  49),  49.5 :    -0.7,   7.6,   46.4
    Rodent 4                  :    200 (  67,  99,  34),  58.3 :   +69.3,   7.7,  100.0
    Crafty 25.3               :    200 (  96,  80,  24),  68.0 :  +136.8,   7.0,  100.0
    Spike 1.4                 :    200 ( 103,  85,  12),  72.8 :  +143.1,   7.0,  100.0
    Gaviota 1.0               :    200 ( 114,  70,  16),  74.5 :  +189.9,   7.3,  100.0

21) Rodent 4           3042.7 :   2200 (+366,=945,-889),  38.1 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   2,  33, 165),   9.3 :  -428.1,   8.3,    0.0
    Hiarcs 15.3.1             :    200 (   1,  59, 140),  15.3 :  -291.4,   8.0,    0.0
    Shredder 13               :    200 (   8,  79, 113),  23.8 :  -206.6,   7.8,    0.0
    Demolito 20211004         :    200 (  20,  88,  92),  32.0 :  -140.7,   7.8,    0.0
    Weiss 1.3                 :    200 (  21, 106,  73),  37.0 :  -100.4,   7.4,    0.0
    iCE 4.0                   :    200 (  27,  92,  81),  36.5 :   -87.3,   6.7,    0.0
    Orion 1.0                 :    200 (  35, 107,  58),  44.3 :   -69.9,   7.4,    0.0
    Senpai 2.0                :    200 (  34,  99,  67),  41.8 :   -69.3,   7.7,    0.0
    Crafty 25.3               :    200 (  65,  98,  37),  57.0 :   +67.5,   7.1,  100.0
    Spike 1.4                 :    200 (  60, 101,  39),  55.3 :   +73.8,   7.2,  100.0
    Gaviota 1.0               :    200 (  93,  83,  24),  67.3 :  +120.7,   7.2,  100.0

22) Crafty 25.3        2975.2 :   3200 (+699,=1149,-1352),  39.8 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   0,   24,  176),   6.0 :  -495.7,   7.6,    0.0
    Hiarcs 15.3.1             :    200 (   2,   44,  154),  12.0 :  -358.9,   7.3,    0.0
    Shredder 13               :    200 (   3,   52,  145),  14.5 :  -274.2,   7.2,    0.0
    Demolito 20211004         :    200 (  12,   62,  126),  21.5 :  -208.3,   7.3,    0.0
    Weiss 1.3                 :    200 (  21,   69,  110),  27.8 :  -167.9,   7.1,    0.0
